        Time,    Channel 1,    Channel 2,    Channel 3,    Channel 4
2.10000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.12000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.14000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.16000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.18000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.20000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.22000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.24000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.26000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.28000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.30000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.32000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.34000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.36000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.38000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
2.40000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
2.42000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
2.44000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
2.46000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.48000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.50000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.52000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.54000e-004,  1.2000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
2.56000e-004,  0.0000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
2.58000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.60000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.62000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.64000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.66000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.68000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.70000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
2.72000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
2.74000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
2.76000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
2.78000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.80000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.82000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.84000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.86000e-004,  0.0000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
2.88000e-004,  1.2000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
2.90000e-004,  1.2000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
2.92000e-004,  1.2000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
2.94000e-004,  1.2000e+000,  0.0000e+000,  4.4445e-002,  5.4816e-001
2.96000e-004,  0.0000e+000,  0.0000e+000,  4.4445e-002,  5.4816e-001
2.98000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.00000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.02000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.04000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.06000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.08000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.10000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
3.12000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
3.14000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
3.16000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
3.18000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.20000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.22000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.24000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.26000e-004,  0.0000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
3.28000e-004,  1.2000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
3.30000e-004,  1.2000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
3.32000e-004,  1.2000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
3.34000e-004,  1.2000e+000,  0.0000e+000,  4.4445e-002,  5.4816e-001
3.36000e-004,  0.0000e+000,  0.0000e+000,  4.4445e-002,  5.4816e-001
3.38000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.40000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.42000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.44000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.46000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.48000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.50000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
3.52000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
3.54000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
3.56000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
3.58000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
3.60000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
3.62000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
3.64000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
3.66000e-004,  0.0000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
3.68000e-004,  1.2000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
3.70000e-004,  1.2000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
3.72000e-004,  1.2000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
3.74000e-004,  1.2000e+000,  0.0000e+000,  5.9260e-002,  5.3334e-001
3.76000e-004,  0.0000e+000,  0.0000e+000,  5.9260e-002,  5.3334e-001
3.78000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.80000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.82000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.84000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.86000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.88000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.90000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.92000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.94000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.96000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.98000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.00000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.02000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.04000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.06000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.08000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.10000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.12000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.14000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.16000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.18000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.20000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.22000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.24000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.26000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.28000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.30000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.32000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
